MEAN MONTHLY MAXIMUM TEMPERATURE (MEAN DAILY MAXIMUM TEMPERATURE) (øC)

KARACHI (AIRPORT)    

Year    Mar    Apr    May

2011   33.3   34.8   35.3
2012   31.7   35.1   35.5
2013   33.3   34.0   35.1
2014   31.7   35.1   35.9
2015   31.5   35.9   36.0
2016   33.3   34.7   35.7
2017   32.8   35.5   36.2
2018   34.4   36.2   38.7
2019   31.3   35.4   36.0
2020   31.2   36.2   36.6

